GraphIndex,Vertices,Edges,Prim_TotalCost,Kruskal_TotalCost,Prim_TimeMs,Kruskal_TimeMs,Prim_Comparisons,Kruskal_Comparisons,Prim_Unions,Kruskal_Unions,Prim_OtherOps,Kruskal_OtherOps
1,23,65,4358.00,4358.00,0.153,0.028,147,169,0,22,80,65
2,18,36,5947.00,5947.00,0.075,0.010,83,96,0,17,58,36
3,10,19,1233.00,1233.00,0.024,0.009,45,46,0,9,34,19
4,21,32,4789.00,4789.00,0.073,0.013,70,95,0,20,54,32
5,6,14,1006.00,1006.00,0.025,0.006,33,35,0,5,22,14
